user_id,date,department,role,tool_used,prompt_category,prompts_used,task_type,tasks_completed,time_spent_minutes,estimated_time_saved_minutes,manual_time_estimate_minutes,cost_per_hour,ai_tool_cost,accuracy_score,task_complexity,output_quality_score,revision_count,error_rate,ai_adoption_level,automation_level,training_hours,experience_with_ai_months,data_sensitivity,security_review_required,compliance_flag,team,location,employment_type,salary_band,ai_generated_content_percent,cluster,user_segment
1474,2025-02-20,Engineering,Data Scientist,ChatGPT,Reporting,2,Email Writing,2,102,156,211,21,0.65,0.84,High,6,1,0.28,High,Fully Automated,13,33,Confidential,Yes,No,Backend,Germany,Full-time,Low,47,0,Low AI Users
2082,2025-04-19,IT,Product Manager,Claude,Research,39,Report Generation,6,97,77,169,98,3.75,0.72,Medium,7,4,0.08,Low,Fully Automated,6,2,Internal,No,Yes,Sales Ops,USA,Intern,Low,47,0,Low AI Users
3558,2025-01-26,Finance,HR Specialist,Copilot,Documentation,8,Documentation,4,7,226,56,26,1.57,0.58,High,6,3,0.11,High,Semi-Automated,6,31,Confidential,Yes,No,HR Ops,India,Intern,Low,47,1,Moderate Users
4753,2025-01-23,Sales,Recruiter,Claude,Content Writing,23,Email Writing,9,80,199,267,94,2.53,0.68,Medium,6,2,0.3,Low,Manual,31,27,Internal,No,Yes,HR Ops,Australia,Intern,High,41,1,Moderate Users
3047,2025-07-26,Finance,Support Agent,Perplexity,Content Writing,8,Research,7,7,168,296,47,3.11,0.91,Low,6,0,0.15,Medium,Manual,14,21,Internal,Yes,No,Backend,India,Intern,Low,68,2,High AI Users
4547,2025-11-30,Engineering,Sales Executive,ChatGPT,Email Drafting,18,Data Analysis,3,63,200,194,28,0.82,0.61,High,6,2,0.28,Low,Fully Automated,28,30,Internal,No,No,Support,Germany,Contract,High,91,1,Moderate Users
3747,2025-04-13,Marketing,Recruiter,Perplexity,Coding,28,Documentation,3,8,32,123,39,3.81,0.95,Low,9,4,0.26,Medium,Manual,26,26,Confidential,Yes,Yes,Data,Germany,Contract,Medium,51,2,High AI Users
1975,2025-02-11,Marketing,Sales Executive,Gemini,Documentation,11,Coding,6,82,179,253,48,2.12,0.85,High,8,4,0.02,Low,Fully Automated,24,23,Confidential,No,No,Data,UK,Contract,Medium,15,0,Low AI Users
2806,2025-06-02,IT,Product Manager,ChatGPT,Reporting,37,Documentation,4,23,72,241,86,3.04,0.66,High,7,0,0.19,Medium,Semi-Automated,23,4,Public,No,No,Marketing Ops,Australia,Full-time,Medium,70,1,Moderate Users
1189,2024-07-07,Operations,Analyst,ChatGPT,Documentation,4,Testing,9,33,146,131,73,3.48,0.72,Low,9,3,0.22,Low,Manual,35,30,Internal,Yes,No,Frontend,India,Intern,Medium,68,2,High AI Users
4005,2025-08-17,HR,HR Specialist,Perplexity,Email Drafting,22,Research,1,20,232,251,28,4.28,0.65,Medium,9,3,0.25,High,Fully Automated,29,10,Public,Yes,No,Frontend,Australia,Full-time,High,90,2,High AI Users
3734,2024-12-16,Sales,HR Specialist,ChatGPT,Reporting,23,Testing,5,61,97,111,20,2.89,0.78,Medium,5,1,0.22,Low,Manual,29,4,Confidential,No,No,Sales Ops,Australia,Contract,Medium,79,2,High AI Users
4005,2024-10-09,Engineering,Data Scientist,Gemini,Reporting,12,Data Analysis,1,20,218,158,35,4.34,0.71,Medium,5,0,0.1,High,Semi-Automated,36,34,Public,Yes,No,Support,India,Intern,Low,55,2,High AI Users
1562,2025-09-27,Customer Support,Developer,Claude,Coding,9,Testing,2,68,209,84,22,1.76,0.64,High,6,4,0.13,Low,Semi-Automated,17,4,Internal,Yes,Yes,Data,UK,Intern,High,98,1,Moderate Users
2899,2024-06-05,Customer Support,Sales Executive,Perplexity,Brainstorming,16,Data Analysis,9,95,119,123,62,4.9,0.87,Medium,7,3,0.18,Low,Fully Automated,26,11,Confidential,No,Yes,Backend,Canada,Contract,High,85,0,Low AI Users
4638,2025-08-21,Product,HR Specialist,Copilot,Data Analysis,17,Report Generation,6,75,191,95,53,1.31,0.91,Medium,6,4,0.09,Medium,Semi-Automated,4,6,Confidential,No,Yes,Marketing Ops,India,Full-time,Medium,61,0,Low AI Users
2267,2024-05-27,Engineering,HR Specialist,Perplexity,Documentation,30,Research,5,47,129,151,60,4.15,0.57,Low,5,1,0.02,High,Manual,3,12,Confidential,Yes,Yes,Sales Ops,UK,Intern,Medium,34,1,Moderate Users
3879,2024-03-10,IT,Sales Executive,Perplexity,Research,15,Report Generation,3,50,133,31,92,3.82,0.64,Low,9,1,0.27,Low,Manual,33,8,Internal,Yes,No,Backend,Canada,Full-time,Medium,95,1,Moderate Users
2528,2025-01-04,Marketing,Recruiter,Claude,Brainstorming,24,Research,5,89,204,186,53,0.9,0.76,Medium,5,0,0.29,Low,Manual,5,7,Internal,No,No,IT Admin,Australia,Contract,High,16,0,Low AI Users
4202,2025-08-10,Engineering,Analyst,Gemini,Data Analysis,1,Documentation,6,55,136,130,21,1.37,0.69,Medium,9,3,0.04,Low,Semi-Automated,23,13,Public,Yes,No,Data,Germany,Intern,High,75,1,Moderate Users
4556,2025-09-17,Engineering,HR Specialist,Copilot,Reporting,2,Data Analysis,9,21,35,283,53,3.74,0.77,Medium,7,0,0.11,High,Manual,26,1,Public,Yes,No,Frontend,USA,Full-time,High,39,2,High AI Users
4890,2025-05-29,Product,Finance Analyst,Perplexity,Data Analysis,26,Coding,9,64,184,50,93,1.3,0.58,Medium,6,2,0.25,High,Semi-Automated,11,19,Internal,No,No,Marketing Ops,UK,Intern,Medium,79,1,Moderate Users
1646,2024-08-21,HR,Analyst,Copilot,Reporting,26,Email Writing,3,30,96,87,30,2.26,0.59,High,8,1,0.22,High,Fully Automated,12,24,Public,Yes,No,Sales Ops,USA,Full-time,Low,10,1,Moderate Users
3068,2025-11-09,Operations,Finance Analyst,Gemini,Reporting,10,Debugging,5,10,222,211,84,4.78,0.74,High,6,2,0.14,Low,Fully Automated,7,32,Internal,Yes,No,Sales Ops,UK,Contract,High,37,2,High AI Users
3888,2025-09-02,Operations,Analyst,Perplexity,Data Analysis,39,Research,6,94,197,174,70,4.05,0.8,Medium,8,4,0.13,Medium,Semi-Automated,3,34,Public,Yes,Yes,Support,UK,Intern,Low,62,0,Low AI Users
3214,2025-09-27,Marketing,Manager,Claude,Coding,1,Testing,7,12,236,137,87,2.02,0.98,High,9,3,0.18,Medium,Semi-Automated,23,9,Confidential,No,Yes,IT Admin,USA,Contract,Medium,63,2,High AI Users
2297,2025-04-11,Marketing,Data Scientist,Gemini,Coding,32,Testing,3,111,200,258,63,1.67,0.55,Medium,9,2,0.11,Medium,Semi-Automated,18,2,Internal,Yes,No,Frontend,Canada,Intern,High,77,1,Moderate Users
3435,2025-07-10,Engineering,HR Specialist,Gemini,Coding,31,Debugging,5,45,27,116,48,2.4,0.73,Low,7,4,0.07,Medium,Manual,0,27,Public,Yes,No,Backend,Australia,Full-time,High,82,2,High AI Users
1600,2024-10-13,IT,Finance Analyst,ChatGPT,Documentation,30,Documentation,2,44,127,290,68,2.5,0.94,High,6,4,0.13,Medium,Manual,0,31,Internal,No,No,HR Ops,UK,Contract,Medium,22,2,High AI Users
3363,2025-09-09,Engineering,Data Scientist,ChatGPT,Documentation,33,Data Analysis,6,55,101,231,58,3.09,0.63,Medium,7,3,0.12,High,Semi-Automated,3,30,Confidential,No,Yes,Sales Ops,USA,Intern,High,95,1,Moderate Users
3061,2024-10-20,Operations,Product Manager,Copilot,Email Drafting,11,Debugging,5,66,229,162,65,2.39,0.71,Medium,9,3,0.21,High,Semi-Automated,9,14,Confidential,Yes,No,Support,Australia,Contract,Medium,20,1,Moderate Users
1241,2025-04-25,IT,Data Scientist,ChatGPT,Customer Support,24,Coding,4,109,172,268,66,1.05,0.73,High,8,3,0.09,Low,Semi-Automated,29,16,Public,No,Yes,Marketing Ops,USA,Full-time,Medium,14,0,Low AI Users
3041,2024-05-13,Operations,Manager,Claude,Email Drafting,15,Report Generation,4,42,231,227,96,4.82,0.69,Medium,7,0,0.14,Low,Fully Automated,34,4,Internal,No,Yes,Data,India,Contract,Medium,52,1,Moderate Users
3824,2024-01-08,Operations,Analyst,Copilot,Content Writing,18,Testing,6,20,47,276,47,3.56,0.53,Medium,9,4,0.08,Low,Fully Automated,17,2,Confidential,Yes,No,IT Admin,USA,Contract,Low,37,1,Moderate Users
4417,2024-01-28,Sales,Manager,ChatGPT,Email Drafting,26,Documentation,7,20,52,106,30,2.7,0.86,Low,7,3,0.01,Low,Manual,2,22,Internal,No,Yes,Frontend,India,Contract,Low,79,2,High AI Users
3612,2025-06-03,Finance,Product Manager,Copilot,Content Writing,33,Research,3,42,9,53,46,1.42,0.6,Medium,8,0,0.01,High,Fully Automated,36,11,Confidential,Yes,No,Backend,Germany,Contract,Medium,79,1,Moderate Users
3945,2024-11-05,Engineering,Support Agent,ChatGPT,Documentation,10,Debugging,1,5,8,218,32,3.51,0.87,Medium,5,0,0.07,Medium,Semi-Automated,8,19,Internal,Yes,No,Marketing Ops,Germany,Intern,Low,18,2,High AI Users
2363,2025-10-07,HR,Finance Analyst,Perplexity,Brainstorming,6,Report Generation,4,13,132,213,80,2.27,0.66,Medium,8,2,0.19,Medium,Semi-Automated,8,12,Internal,No,Yes,Sales Ops,USA,Intern,Low,52,2,High AI Users
3139,2025-06-24,Operations,Recruiter,Perplexity,Research,12,Testing,9,58,144,189,24,1.53,0.97,Low,6,4,0.09,Medium,Semi-Automated,2,16,Internal,No,Yes,Marketing Ops,USA,Contract,Low,64,2,High AI Users
2390,2025-09-18,Marketing,Support Agent,Gemini,Documentation,38,Coding,1,21,197,137,25,2.88,0.87,Low,9,2,0.08,Low,Semi-Automated,34,10,Confidential,No,No,Data,Australia,Full-time,Medium,99,2,High AI Users
4003,2025-05-08,Engineering,HR Specialist,Claude,Email Drafting,25,Email Writing,1,78,230,231,50,4.92,0.72,Low,7,4,0.15,Medium,Semi-Automated,23,9,Internal,Yes,Yes,HR Ops,Germany,Intern,High,80,1,Moderate Users
2478,2024-02-03,Engineering,Recruiter,Gemini,Customer Support,2,Email Writing,9,9,186,179,60,3.02,0.58,Medium,6,2,0.3,High,Semi-Automated,23,6,Public,Yes,No,Marketing Ops,UK,Full-time,Low,29,1,Moderate Users
4499,2024-01-07,Engineering,Manager,Gemini,Brainstorming,15,Research,9,51,184,193,70,2.33,0.55,Medium,7,3,0.11,Low,Fully Automated,4,1,Public,Yes,Yes,Backend,Australia,Contract,High,52,1,Moderate Users
3556,2024-02-09,Engineering,HR Specialist,Gemini,Data Analysis,19,Data Analysis,3,29,239,285,43,1.64,0.52,High,7,1,0.14,Medium,Manual,24,28,Confidential,Yes,No,Backend,India,Contract,Medium,45,1,Moderate Users
1775,2024-11-25,Operations,Support Agent,Claude,Brainstorming,11,Research,8,101,150,163,64,3.93,0.57,Low,6,2,0.15,Medium,Fully Automated,19,11,Internal,Yes,Yes,Backend,UK,Full-time,Low,81,1,Moderate Users
1034,2024-03-02,Sales,Recruiter,Claude,Documentation,11,Report Generation,8,54,182,252,80,2.93,0.57,High,5,1,0.29,Medium,Fully Automated,28,23,Internal,Yes,No,Frontend,Canada,Full-time,Medium,30,1,Moderate Users
3253,2024-03-26,Sales,HR Specialist,Gemini,Reporting,5,Data Analysis,1,115,140,139,21,4.99,0.96,Medium,8,1,0.21,Low,Fully Automated,21,31,Public,No,No,Support,Australia,Full-time,High,22,0,Low AI Users
4152,2025-12-25,Sales,Recruiter,Perplexity,Email Drafting,6,Research,3,38,82,79,22,4.14,0.53,Medium,5,2,0.25,High,Semi-Automated,32,5,Internal,No,No,Frontend,UK,Intern,Low,35,1,Moderate Users
2955,2024-04-25,Product,Finance Analyst,Perplexity,Documentation,6,Report Generation,4,116,197,139,70,2.39,0.57,High,9,1,0.15,Low,Manual,26,33,Public,Yes,No,Data,UK,Intern,High,48,1,Moderate Users
2585,2025-07-30,Customer Support,Sales Executive,Copilot,Reporting,12,Research,1,116,37,141,83,3.52,0.63,Low,5,0,0.15,Low,Fully Automated,10,17,Internal,Yes,Yes,Sales Ops,UK,Intern,Medium,94,0,Low AI Users
4943,2024-10-23,Finance,Data Scientist,Perplexity,Coding,8,Research,6,97,232,140,27,1.64,0.93,High,9,4,0.04,Medium,Fully Automated,19,29,Confidential,Yes,Yes,Data,Canada,Full-time,Medium,77,0,Low AI Users
4459,2025-01-13,Customer Support,Analyst,Copilot,Coding,21,Email Writing,9,99,94,82,55,4.39,0.64,Medium,5,3,0.21,Low,Fully Automated,19,25,Public,Yes,No,Backend,UK,Full-time,Low,91,1,Moderate Users
4073,2025-11-12,Product,Data Scientist,Claude,Email Drafting,10,Debugging,4,21,41,186,97,1.08,0.52,Low,6,3,0.15,High,Semi-Automated,18,17,Confidential,No,Yes,Sales Ops,Germany,Full-time,Low,47,1,Moderate Users
2021,2025-09-19,Product,Support Agent,Perplexity,Content Writing,23,Documentation,1,73,26,114,60,2.25,0.99,Low,6,0,0.17,High,Fully Automated,28,3,Confidential,No,Yes,Sales Ops,Canada,Intern,High,15,0,Low AI Users
4461,2024-11-17,Customer Support,Developer,Gemini,Coding,16,Coding,6,34,38,235,48,3.38,0.86,High,6,2,0.23,High,Fully Automated,4,21,Internal,No,No,Finance Ops,UK,Intern,Medium,95,2,High AI Users
3613,2025-09-19,Customer Support,Manager,Copilot,Customer Support,25,Data Analysis,3,60,114,240,92,1.99,0.88,Low,6,0,0.07,Low,Fully Automated,21,5,Public,Yes,No,Sales Ops,India,Intern,High,45,2,High AI Users
2129,2025-01-29,IT,Sales Executive,Claude,Customer Support,33,Debugging,6,86,216,288,63,4.99,0.88,Medium,5,4,0.13,High,Fully Automated,36,17,Public,No,Yes,Data,USA,Full-time,Low,42,0,Low AI Users
4843,2024-12-22,Finance,Product Manager,Claude,Documentation,6,Documentation,6,35,143,112,49,0.64,0.59,High,5,1,0.27,Medium,Fully Automated,7,33,Internal,Yes,Yes,Finance Ops,UK,Contract,Low,97,1,Moderate Users
4893,2025-07-15,Product,HR Specialist,Copilot,Reporting,37,Research,4,6,197,216,20,4.33,0.52,High,5,4,0.12,Low,Fully Automated,13,9,Public,No,No,IT Admin,Australia,Intern,Medium,38,1,Moderate Users
2500,2025-02-22,Marketing,Finance Analyst,Copilot,Email Drafting,4,Documentation,4,19,147,56,46,4.01,0.71,High,6,1,0.12,Medium,Fully Automated,14,8,Confidential,Yes,Yes,Finance Ops,Germany,Intern,High,35,2,High AI Users
1702,2025-04-22,Product,Manager,ChatGPT,Email Drafting,20,Testing,8,71,145,291,61,2.35,0.81,Low,5,1,0.3,Low,Fully Automated,32,7,Public,No,Yes,IT Admin,Australia,Full-time,Low,83,0,Low AI Users
3449,2024-12-01,Engineering,Analyst,ChatGPT,Email Drafting,30,Documentation,7,38,168,69,88,4.33,0.67,Medium,6,1,0.23,Medium,Semi-Automated,29,3,Confidential,Yes,Yes,Support,Canada,Intern,Medium,13,1,Moderate Users
3777,2025-08-13,IT,Finance Analyst,ChatGPT,Brainstorming,9,Debugging,4,83,21,280,74,3.25,0.81,High,9,3,0.15,Medium,Semi-Automated,1,9,Internal,No,Yes,Data,Canada,Intern,Low,19,0,Low AI Users
2579,2024-01-20,Engineering,Manager,Copilot,Brainstorming,22,Documentation,2,10,2,270,68,2.51,0.88,Low,6,2,0.2,Medium,Manual,38,35,Confidential,Yes,No,Support,Australia,Intern,High,31,2,High AI Users
1161,2025-02-15,Product,Manager,Claude,Email Drafting,38,Research,7,41,232,255,35,3.36,0.65,Medium,9,2,0.2,Low,Semi-Automated,29,14,Internal,No,No,Support,Germany,Contract,Low,42,1,Moderate Users
1201,2025-07-02,HR,Sales Executive,Claude,Documentation,34,Debugging,7,28,107,179,54,0.67,0.98,Medium,8,0,0.17,High,Semi-Automated,12,5,Confidential,No,No,Backend,USA,Contract,Medium,13,2,High AI Users
2981,2024-09-15,Sales,Data Scientist,Copilot,Research,39,Documentation,4,83,172,52,71,4.65,0.93,High,6,0,0.24,High,Manual,14,31,Public,Yes,Yes,Marketing Ops,India,Intern,High,50,0,Low AI Users
1995,2025-08-27,Customer Support,Recruiter,ChatGPT,Research,1,Research,6,39,39,141,55,4.97,0.8,High,7,1,0.15,Low,Manual,2,31,Confidential,No,Yes,Backend,UK,Intern,Medium,64,2,High AI Users
3317,2025-11-29,HR,Developer,Gemini,Coding,1,Coding,4,80,96,152,63,3.87,0.71,Medium,6,1,0.04,Low,Fully Automated,17,5,Public,Yes,Yes,Frontend,Germany,Full-time,Medium,58,1,Moderate Users
4934,2024-12-22,IT,Analyst,ChatGPT,Content Writing,21,Coding,1,99,98,180,66,2.24,0.82,Medium,8,4,0.03,High,Manual,31,18,Internal,No,No,HR Ops,India,Contract,Medium,54,0,Low AI Users
1815,2024-07-19,HR,Finance Analyst,Claude,Coding,8,Email Writing,7,41,187,39,57,4.41,0.97,High,9,1,0.16,Low,Manual,25,17,Confidential,Yes,Yes,Data,India,Full-time,Medium,61,2,High AI Users
4342,2025-02-14,Product,Developer,Copilot,Documentation,22,Email Writing,3,27,125,61,35,2.09,0.63,Medium,9,2,0.1,High,Fully Automated,20,26,Internal,No,Yes,Sales Ops,Germany,Contract,Medium,58,1,Moderate Users
1455,2024-10-14,Product,Sales Executive,Copilot,Documentation,27,Email Writing,9,72,115,199,29,2.74,0.8,High,6,2,0.2,Low,Manual,8,29,Confidential,Yes,No,Backend,Germany,Full-time,Medium,49,0,Low AI Users
4533,2024-02-17,HR,HR Specialist,Perplexity,Data Analysis,8,Research,1,114,54,268,48,1.13,0.76,Low,6,3,0.26,Medium,Manual,20,8,Internal,No,No,IT Admin,Canada,Contract,Medium,89,0,Low AI Users
4798,2025-07-11,HR,Product Manager,Claude,Customer Support,36,Testing,7,51,153,75,46,2.17,0.91,Low,6,3,0.28,Low,Fully Automated,14,15,Internal,Yes,No,Support,UK,Contract,High,19,2,High AI Users
2275,2025-01-04,Finance,Finance Analyst,Gemini,Research,31,Data Analysis,4,6,148,244,28,2.44,0.59,Low,6,3,0.24,Medium,Manual,21,5,Internal,No,Yes,Backend,Canada,Full-time,Low,72,1,Moderate Users
